5 Letter Code,North,East,סוג דיווח,שם
ZLHAV,"31° 22' 21"" N","34° 47' 36"" E",חובה,צומת להבים
ZMGID,"31° 34' 22"" N","35° 11' 28"" E",חובה,צומת מגדי
ZMGEN,"31° 17' 38"" N","34° 25' 56"" E",חובה,צומת מגן
NCSHN,"31° 48' 56"" N","34° 55' 01"" E",חובה,צומת נחשון
ARRAD,"31° 15' 16"" N","35° 12' 35"" E",חובה,צומת ערד
FRDIS,"32° 35' 31"" N","34° 56' 47"" E",דרישה,צומת פוריידיס
FAZEL,"32° 02' 53"" N","35° 27' 47"" E",דרישה,צומת פצאל
ZZHOR,"30° 16' 38"" N","35° 01' 12"" E",דרישה,צומת ציחור
ZAFIT,"31° 02' 33"" N","35° 11' 59"" E",חובה,צומת צפית
KTORA,"29° 59' 22"" N","35° 04' 35"" E",חובה,צומת קטורה
SOKET,"31° 18' 27"" N","34° 54' 04"" E",חובה,צומת שוקת
ZOFAR,"30° 33' 35"" N","35° 11' 12"" E",חובה,צופר
TZHOT,"31° 18' 28"" N","34° 31' 47"" E",חובה,צפחות
ZALMN,"32° 51' 12"" N","35° 24' 42"" E",דרישה,צלמון
NCITY,"31° 17' 15"" N","34° 47' 29"" E",חובה,צפון העיר
KNTRY,"31° 08' 27"" N","34° 48' 05"" E",דרישה,קאנטרי קלאב
KKDEM,"31° 15' 46"" N","34° 39' 01"" E",ARP,קדם
KRYON,"32° 50' 36"" N","35° 06' 20"" E",חובה,קריון
CLORE,"32° 03' 11"" N","34° 44' 09"" E",דרישה,קלור
LLKZ,"30° 51' 32"" N","34° 26' 37"" E",ARP,קציעות
LLKS,"33° 12' 42"" N","35° 34' 15"" E",ARP,קרית שמונה
LLIB,"32° 58' 50"" N","35° 34' 15"" E",ARP,ראש פינה
LLRS,"31° 58' 03"" N","34° 45' 13"" E",ARP,ראשון לציון
REVAH,"31° 38' 40"" N","34° 43' 49"" E",חובה,רווחה
ROKCH,"32° 06' 09"" N","34° 48' 13"" E",דרישה,רוקח
RIDNG,"32° 06' 37"" N","34° 46' 45"" E",דרישה,רידינג
LLRM,"30° 46' 30"" N","34° 40' 00"" E",ARP,רמון
LLRD,"32° 40' 00"" N","35° 11' 00"" E",ARP,רמת דוד
HOVAV,"31° 08' 08"" N","34° 48' 18"" E",חובה,רמת חובב
ZRANA,"32° 10' 38"" N","34° 53' 16"" E",חובה,רעננה מרכז
RANNO,"32° 11' 27"" N","34° 53' 18"" E",חובה,רעננה צפון
SZION,"32° 58' 46"" N","35° 05' 36"" E",חובה,שבי ציון
SEGEV,"32° 51' 40"" N","35° 15' 45"" E",חובה,שגב
BOKER,"30° 52' 30"" N","34° 47' 09"" E",חובה,שדה בוקר
SDTYM,"32° 29' 48"" N","34° 53' 06"" E",חובה,שדות ים
SDROT,"31° 30' 24"" N","34° 35' 08"" E",חובה,שדרות
SOVAL,"31° 24' 41"" N","34° 44' 47"" E",חובה,שובל
SORES,"31° 47' 59"" N","35° 04' 34"" E",חובה,שורש
SIZFN,"30° 02' 51"" N","35° 00' 52"" E",חובה,שזפון
SHRUT,"29° 54' 28"" N","35° 00' 12"" E",דרישה,שחרות
SITIM,"30° 10' 33"" N","35° 00' 52"" E",דרישה,שיטים
SMRAT,"32° 57' 06"" N","35° 05' 24"" E",דרישה,שמרת
SHARG,"31° 49' 11"" N","35° 01' 16"" E",דרישה,שער הגיא
SFAIM,"32° 12' 38"" N","34° 48' 26"" E",דרישה,שפיים
LLBS,"31° 17' 13"" N","34° 43' 22"" E",ARP,תימן
ASKLN,"31° 39' 59"" N","34° 32' 21"" E",חובה,תל אשקלון
TYONA,"32° 00' 17"" N","34° 43' 38"" E",ARP,תל יונה
LLEK,"31° 50' 12"" N","34° 49' 06"" E",ARP,תל נוף
TARAD,"31° 16' 39"" N","35° 07' 32"" E",דרישה,תל ערד
YRIHO,"31° 49' 10"" N","35° 23' 15"" E",חובה,מצפה יריחו
SHALM,"31° 31' 33"" N","35° 24' 09"" E",חובה,מצפה שלם
MEHOL,"31° 57' 39"" N","34° 45' 51"" E",חובה,משולש חולות
MINGV,"31° 22' 08"" N","34° 42' 46"" E",חובה,משמר הנגב
EMMEK,"32° 36' 54"" N","35° 08' 30"" E",דרישה,משמר העמק
MESEK,"31° 15' 53"" N","34° 41' 59"" E",דרישה,משק
METAH,"31° 13' 32"" N","34° 45' 18"" E",דרישה,מנחת
LLNV,"31° 12' 48"" N","35° 01' 06"" E",ARP,נבטים
LLNV,"31° 11' 44"" N","35° 02' 21"" E",ARP,נגב
EITAN,"32° 29' 44"" N","35° 32' 01"" E",חובה,נווה איתן
ZOHAR,"31° 09' 03"" N","35° 22' 21"" E",חובה,נווה זוהר
NAHLA,"31° 39' 23"" N","34° 48' 33"" E",דרישה,נחלה
NTAIM,"31° 56' 37"" N","34° 46' 51"" E",חובה,נטעים
NITZA,"31° 43' 27"" N","34° 34' 14"" E",חובה,ניצן
NMASD,"31° 50' 00"" N","34° 37' 31"" E",חובה,נמל אשדוד
NAAMA,"31° 34' 17"" N","35° 22' 33"" E",חובה,נעמה
NOAAM,"31° 54' 31"" N","35° 27' 45"" E",דרישה,נעמה
SIRNI,"31° 55' 41"" N","34° 49' 48"" E",חובה,נצר סירני
